level_0,level_1,Name,join_artists,Score,Song_top,Song_attr
1203,6604,1.0,1.0,2.0,Mac Miller - Hurt Feelings,Mac Miller - Hurt Feelings
1204,6615,1.0,1.0,2.0,Mac Miller - Self Care,Mac Miller - Self Care
1234,6809,1.0,1.0,2.0,Maroon 5 - Girls Like You,Maroon 5 - Girls Like You
1244,6817,1.0,1.0,2.0,Marshmello - Happier,Marshmello - Happier
1287,6941,1.0,1.0,2.0,Megan Thee Stallion - Big Ole Freak,Megan Thee Stallion - Big Ole Freak
1292,6959,1.0,1.0,2.0,Meghan Trainor - No Excuses,Meghan Trainor - No Excuses
1302,7025,1.0,1.0,2.0,Michael Ray - One That Got Away,Michael Ray - One That Got Away
1319,7059,1.0,1.0,2.0,Migos - Narcos,Migos - Narcos
1320,7054,1.0,1.0,2.0,Migos - Notice Me,Migos - Notice Me
1324,7048,1.0,1.0,2.0,Migos - Walk It Talk It,Migos - Walk It Talk It
1339,7134,1.0,1.0,2.0,Mitchell Tenpenny - Drunk Me,Mitchell Tenpenny - Drunk Me
1342,7215,1.0,1.0,2.0,Morgan Wallen - Whiskey Glasses,Morgan Wallen - Whiskey Glasses
1369,7516,1.0,1.0,2.0,Nicki Minaj - Barbie Dreams,Nicki Minaj - Barbie Dreams
1370,7517,1.0,1.0,2.0,Nicki Minaj - Barbie Tingz,Nicki Minaj - Barbie Tingz
1373,7519,1.0,1.0,2.0,Nicki Minaj - Good Form,Nicki Minaj - Good Form
1425,7780,1.0,1.0,2.0,Ozuna - Unica,Ozuna - Unica
1428,7766,1.0,1.0,2.0,Ozuna - Vaina Loca,Ozuna - Vaina Loca
1430,7782,1.0,1.0,2.0,P!nk - A Million Dreams,P!nk - A Million Dreams
1443,7826,1.0,1.0,2.0,"Panic! At The Disco - Hey Look Ma, I Made It","Panic! At The Disco - Hey Look Ma, I Made It"
1444,7827,1.0,1.0,2.0,Panic! At The Disco - High Hopes,Panic! At The Disco - High Hopes
1468,8152,1.0,1.0,2.0,Post Malone - 92 Explorer,Post Malone - 92 Explorer
1470,8155,1.0,1.0,2.0,Post Malone - Better Now,Post Malone - Better Now
1471,8157,1.0,1.0,2.0,Post Malone - Blame It On Me,Post Malone - Blame It On Me
1478,8172,1.0,1.0,2.0,Post Malone - Otherside,Post Malone - Otherside
1479,8173,1.0,1.0,2.0,Post Malone - Over Now,Post Malone - Over Now
1480,8174,1.0,1.0,2.0,Post Malone - Paranoid,Post Malone - Paranoid
1485,8178,1.0,1.0,2.0,Post Malone - Stay,Post Malone - Stay
1486,8179,1.0,1.0,2.0,Post Malone - Sugar Wraith,Post Malone - Sugar Wraith
1487,8180,1.0,1.0,2.0,Post Malone - Takin' Shots,Post Malone - Takin' Shots
1490,8186,1.0,1.0,2.0,Post Malone - Zack And Codeine,Post Malone - Zack And Codeine
1494,8217,1.0,1.0,2.0,Pusha T - If You Know You Know,Pusha T - If You Know You Know
1496,8218,1.0,1.0,2.0,Pusha T - The Games We Play,Pusha T - The Games We Play
1505,8239,1.0,1.0,2.0,Queen Naija - Karma,Queen Naija - Karma
1526,8500,1.0,1.0,2.0,Rich The Kid - Plug Walk,Rich The Kid - Plug Walk
1540,8589,1.0,1.0,2.0,Roddy Ricch - Die Young,Roddy Ricch - Die Young
1550,8747,1.0,1.0,2.0,SHAED - Trampoline,SHAED - Trampoline
1570,8924,1.0,1.0,2.0,Scotty McCreery - This Is It,Scotty McCreery - This Is It
1572,8960,1.0,1.0,2.0,Selena Gomez - Back To You,Selena Gomez - Back To You
1586,9019,1.0,1.0,2.0,Shawn Mendes - In My Blood,Shawn Mendes - In My Blood
1594,9021,1.0,1.0,2.0,Shawn Mendes - Lost In Japan,Shawn Mendes - Lost In Japan
1603,9145,1.0,1.0,2.0,Ski Mask The Slump God - Faucet Failure,Ski Mask The Slump God - Faucet Failure
1604,9146,1.0,1.0,2.0,Ski Mask The Slump God - Foot Fungus,Ski Mask The Slump God - Foot Fungus
1612,9301,1.0,1.0,2.0,Steve Aoki - Waste It On Me,Steve Aoki - Waste It On Me
1614,9366,1.0,1.0,2.0,Sugarland - Babe,Sugarland - Babe
1621,9476,1.0,1.0,2.0,TakeOff - Casper,Takeoff - Casper
1622,9477,1.0,1.0,2.0,TakeOff - Last Memory,Takeoff - Last Memory
1655,9708,1.0,1.0,2.0,The Chainsmokers - Sick Boy,The Chainsmokers - Sick Boy
1658,9701,1.0,1.0,2.0,The Chainsmokers - This Feeling,The Chainsmokers - This Feeling
1669,9908,1.0,1.0,2.0,The Weeknd - Call Out My Name,The Weeknd - Call Out My Name
1674,9890,1.0,1.0,2.0,The Weeknd - Hurt You,The Weeknd - Hurt You
1676,9891,1.0,1.0,2.0,The Weeknd - I Was Never There,The Weeknd - I Was Never There
1684,9926,1.0,1.0,2.0,The Weeknd - Privilege,The Weeknd - Privilege
1697,9939,1.0,1.0,2.0,The Weeknd - Try Me,The Weeknd - Try Me
